a,e,inc,Omega,omega,M,dist,H,RESO,Ifree,IfreeRange,qForced,pForced,OSSOS,DES,ID,Name
41.30506,0.02573,12.73353,163.7522,18.36943,193.09527,42.34155,6.9,0,12.7542,0.3508,0.4195,1.8927,x,DESY6_0030,a0385191,385191 (1997 RT5)
43.39731,0.05006,0.78932,336.81277,117.45394,241.30876,44.521,6.5,0,2.1965,0.2468,0.3201,1.848,x,x,a0385194,385194 (1998 KG62)
45.34559,0.04623,2.1516,130.88785,214.51628,359.14639,43.24972,6.8,0,1.3255,0.0688,-0.0838,1.6759,x,x,a0385199,385199 (1999 OE4)
43.16317,0.0735,12.40988,140.6502,102.55526,146.23063,45.86644,6.6,0,11.426,0.1694,0.0407,1.7302,x,DESY6_0627,a0385201,385201 (1999 RN215)
42.60909,0.09598,1.79922,291.62791,1.84781,51.55069,40.32913,6.8,0,3.7965,1.032,0.9426,2.1137,L3q02PD,x,a0385266,385266 (2001 QB298)
46.24481,0.14429,3.70074,328.77668,134.21433,257.79453,48.5243,6.4,0,4.8297,0.2419,-0.0424,1.6928,L3q04PD,x,a0385362,385362 (2002 PT170)
44.86001,0.0723,3.93179,339.81574,203.19635,162.47691,47.972,6.2,0,4.8078,0.1748,-0.0171,1.7043,K02O32,x,a0385363,385363 (2002 PW170)
44.15011,0.07897,1.10185,116.48014,86.6036,29.69141,41.19631,5.99,0,1.0639,0.1426,0.1989,1.796,x,x,a0385437,385437 (2003 GH55)
39.42354,0.15002,3.66276,286.76167,266.4239,130.87748,43.73233,6.8,32,5.1846,4.5994,-1.4211,1.0473,x,x,a0385445,385445 (2003 QH91)
43.71293,0.1133,2.66668,68.49338,20.17116,282.9519,43.1521,6.6,74,0.8496,0.5628,0.3828,1.8744,x,x,a0385446,385446 Manwe (2003 QW111)
43.81781,0.02858,4.45884,114.14259,202.82536,21.85479,42.66078,6.6,0,3.012,0.0834,0.1082,1.758,x,x,a0385447,385447 (2003 QF113)
45.96085,0.16979,5.08069,347.10014,96.96468,307.89957,42.12682,7.2,179,5.6146,0.5966,0.1497,1.7738,o5t34PD,x,a0385458,385458 (2003 SP317)
43.78843,0.24341,3.46466,149.03921,207.35843,344.19193,33.82132,7.5,74,1.5353,161.8282,-3.2942,0.2815,x,x,a0385527,385527 (2004 OK14)
43.03508,0.11426,23.85903,135.27425,114.64461,75.85325,42.37977,7.0,127,22.5736,0.127,-0.2439,1.6102,L4q03,x,a0385533,385533 (2004 QD29)
44.33251,0.14354,29.09072,141.56481,100.11842,186.34824,50.6662,4.67,0,27.868,0.2844,-0.3396,1.5689,x,x,a0386723,386723 (2009 YE7)
44.08693,0.04007,2.1515,162.7187,295.3675,256.93859,44.55233,6.2,0,2.4286,0.1415,0.1025,1.7553,L3q06PD,x,a0408832,408832 (2001 QJ298)
43.04203,0.06986,7.73693,14.29356,329.82093,53.68961,41.40655,7.3,0,7.2362,0.3182,0.2617,1.8237,mal40,x,a0415720,415720 (1999 RU215)
44.22063,0.13258,27.42073,204.63018,246.51906,345.52096,38.60385,5.34,0,27.8283,0.2375,-0.3228,1.5761,x,x,a0416400,416400 (2003 UZ117)
