spkid,Name,e,a,q,i,om,w,ma,n,tp,per_y,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma
54196777,2013 RG158,0.3683,60.22,38.042,28.50,181.16,177.34,3.69,0.002109,2459049.46,467,1.6e-04,1.7e-02,1.4e-03,4.2e-04,1.6e-04,1.1e-02,4.8e-03
54199257,2013 RJ158,0.6305,89.95,33.235,17.13,192.51,87.11,13.54,0.001155,2449081.25,853,2.8e-04,8.0e-02,5.5e-03,4.6e-04,1.3e-03,2.1e-02,2.1e-02
54199258,2013 RK158,0.1242,44.54,39.002,34.31,3.28,315.98,356.12,0.003316,2461969.05,297,6.1e-04,3.1e-02,1.1e-02,4.6e-04,1.6e-03,3.7e-01,2.8e-01
54199259,2013 RL158,0.0602,40.43,37.998,14.60,268.79,100.51,339.71,0.003834,2466092.82,257,4.4e-04,3.1e-02,1.2e-02,2.8e-04,2.0e-03,3.8e-01,3.5e-01
54199260,2013 RM158,0.1032,43.71,39.196,18.24,181.31,128.27,32.48,0.003411,2451277.92,289,4.0e-04,2.8e-02,8.3e-03,7.5e-04,1.0e-03,1.5e-01,1.5e-01
54199262,2013 RN158,0.3431,46.39,30.474,14.38,202.65,86.96,29.55,0.00312,2451328.87,316,2.5e-04,2.0e-02,6.4e-03,5.2e-04,2.5e-03,5.3e-02,3.5e-02
54199265,2013 RO158,0.0739,40.51,37.522,18.19,188.99,158.16,15.71,0.003822,2456689.97,258,1.9e-04,1.0e-02,2.1e-03,6.0e-04,6.5e-04,8.4e-02,7.3e-02
54199495,2013 RP158,0.0582,44.43,41.843,0.23,236.78,81.70,45.69,0.003328,2447073.05,296,1.4e-04,9.8e-03,3.3e-03,2.3e-04,9.5e-02,1.3e-01,9.6e-02
54199492,2013 RQ158,0.0786,45.64,42.055,8.26,148.43,264.07,326.96,0.003196,2471137.67,308,1.7e-04,1.2e-02,5.4e-03,4.7e-04,2.1e-03,1.0e-01,9.9e-02
54200433,2013 RT158,0.0753,44.47,41.119,1.05,130.62,49.27,194.26,0.003324,2510667.63,297,1.7e-04,9.5e-03,1.6e-02,4.2e-04,2.9e-02,6.8e-02,7.1e-02
3709399,2013 SE99,0.5433,80.74,36.870,18.25,100.65,224.66,25.01,0.001359,2442392.49,725,1.3e-02,1.7e+00,3.2e-01,1.6e-03,1.3e-02,6.3e-01,8.1e-01
3773829,2013 SY99,0.9414,852,49.957,4.22,29.52,32.08,359.57,3.963e-05,2471595.03,2.49e+04,1.7e-03,2.4e+01,4.1e-02,1.1e-03,4.7e-03,8.3e-02,1.8e-02
3775194,2013 SZ99,0.0117,38.49,38.041,19.82,183.07,58.75,146.79,0.004128,2425236.63,239,1.7e-04,3.8e-03,8.0e-03,5.7e-04,3.1e-04,8.8e-01,9.1e-01
3787112,2013 SJ100,0.0409,43.8,42.013,2.95,110.24,48.74,230.34,0.0034,2498941.71,290,2.2e-04,4.4e-03,1.2e-02,1.5e-04,2.2e-02,3.7e-01,4.1e-01
3787104,2013 SK100,0.2720,62.45,45.466,26.25,17.10,12.25,358.96,0.001997,2461323.08,494,1.7e-04,1.3e-02,6.0e-03,8.3e-04,1.4e-04,1.3e-01,6.8e-02
3787113,2013 SL100,0.0653,44.07,41.190,3.42,128.85,263.90,356.61,0.003369,2461805.89,293,7.9e-05,4.6e-03,1.7e-03,2.3e-04,8.1e-03,7.4e-02,6.4e-02
3787109,2013 SM100,0.1318,45.66,39.642,1.48,102.46,285.97,1.96,0.003195,2460188.44,309,1.2e-04,5.8e-03,2.8e-03,3.3e-05,2.7e-02,1.6e-01,1.2e-01
3787106,2013 SN100,0.0228,43.88,42.878,6.21,182.41,336.19,230.33,0.003391,2499042.80,291,2.9e-04,5.2e-03,1.6e-02,5.3e-04,1.1e-03,8.2e-01,8.7e-01
3787107,2013 SO100,0.1404,46.05,39.588,2.46,21.50,251.16,98.00,0.003154,2429726.57,313,8.2e-04,1.2e-02,3.0e-02,9.4e-04,2.9e-03,8.4e-02,1.8e-01
3787105,2013 SP100,0.1373,44.02,37.970,8.35,18.83,283.32,71.54,0.003375,2439605.52,292,5.2e-04,1.1e-02,1.6e-02,8.0e-04,4.2e-04,5.9e-02,4.8e-02
3787103,2013 SQ100,0.2522,48.09,35.962,12.94,19.89,278.39,61.29,0.002955,2440059.77,334,4.5e-04,1.3e-02,1.3e-02,8.7e-04,3.8e-04,3.0e-02,3.6e-02
3787108,2013 SR100,0.1776,45.81,37.672,24.13,17.57,150.71,225.31,0.003179,2503164.22,310,3.2e-04,7.1e-03,1.2e-02,1.1e-03,2.7e-04,2.3e-01,3.2e-01
3787111,2013 SS100,0.0872,44.18,40.326,2.55,117.55,241.63,24.94,0.003356,2453370.43,294,1.5e-04,6.5e-03,3.3e-03,2.6e-04,2.2e-02,1.9e-01,1.6e-01
3787102,2013 ST100,0.0678,41.16,38.376,14.81,181.90,282.40,291.58,0.003732,2479135.83,264,3.1e-04,4.4e-03,1.3e-02,7.4e-04,5.9e-04,7.1e-02,6.5e-02
3787110,2013 SU100,0.2260,42.46,32.865,9.65,21.49,230.14,111.32,0.003562,2429552.28,277,4.5e-04,1.1e-02,1.2e-02,9.7e-04,8.8e-04,8.1e-02,1.5e-01
3787120,2013 SV100,0.0296,43.3,42.022,2.10,141.74,132.17,109.70,0.003459,2429085.22,285,3.8e-04,5.5e-03,1.5e-02,3.7e-04,1.3e-02,2.7e-01,3.1e-01
3787121,2013 SW100,0.0135,42.91,42.326,1.22,153.96,176.52,55.32,0.003507,2445026.19,281,3.3e-04,4.9e-03,1.3e-02,5.9e-04,2.3e-02,1.4e+00,1.3e+00
3787119,2013 SX100,0.0215,43.02,42.091,1.28,69.84,358.92,319.94,0.003493,2472267.19,282,3.9e-04,5.4e-03,1.7e-02,4.4e-04,3.0e-02,7.9e-01,7.4e-01
3787114,2013 SY100,0.1604,43.48,36.501,26.99,13.62,267.65,86.94,0.003438,2435514.29,287,1.1e-04,6.7e-03,5.0e-03,5.4e-04,5.6e-05,3.9e-02,4.8e-02
3787117,2013 SZ100,0.0656,43.85,40.978,8.44,27.87,161.35,195.29,0.003394,2509332.97,290,9.6e-05,4.7e-03,8.5e-03,9.4e-04,2.0e-03,5.0e-01,5.7e-01
3787115,2013 SA101,0.2658,47.91,35.173,3.68,65.36,187.50,100.68,0.002972,2426926.55,332,2.5e-03,7.0e-02,7.0e-02,1.4e-03,3.1e-02,2.9e-01,6.7e-01
3787116,2013 SB101,0.1216,43.95,38.601,2.06,111.50,288.32,351.28,0.003383,2463378.82,291,1.3e-04,5.6e-03,3.6e-03,7.9e-05,1.3e-02,1.0e-01,7.6e-02
3787118,2013 SC101,0.0346,42.87,41.390,2.24,101.70,129.35,152.22,0.003511,2417447.72,281,9.9e-04,5.6e-03,3.9e-02,2.1e-05,3.2e-02,2.1e+00,2.2e+00
3787122,2013 SD101,0.0251,43.59,42.494,1.59,44.61,318.09,22.15,0.003425,2454331.99,288,1.3e-04,5.1e-03,4.1e-03,6.3e-04,1.5e-02,1.1e+00,1.1e+00
3787125,2013 SE101,0.0822,44.41,40.763,0.91,128.69,263.64,355.88,0.00333,2462036.68,296,1.5e-04,5.6e-03,5.5e-03,3.1e-04,3.9e-02,2.9e-01,2.4e-01
3787123,2013 SF101,0.0497,42.67,40.545,1.32,37.84,136.71,213.20,0.003537,2502310.70,279,2.6e-04,5.5e-03,1.3e-02,9.1e-04,1.9e-02,7.7e-01,8.5e-01
3787124,2013 SG101,0.0609,46.84,43.989,1.78,152.10,220.12,12.30,0.003074,2456799.00,321,9.8e-05,6.0e-03,1.4e-03,6.0e-04,1.6e-02,4.9e-01,4.3e-01
3841648,2013 SG102,0.0118,43.22,42.712,7.97,200.60,201.34,321.15,0.003468,2472002.29,284,1.3e-04,6.8e-03,4.9e-03,4.2e-04,1.8e-03,5.4e-01,5.3e-01
3841647,2013 SH102,0.0491,38.07,36.201,19.36,180.22,86.84,107.79,0.004196,2435108.89,235,1.7e-04,6.0e-03,8.5e-03,4.8e-04,1.8e-04,1.4e-01,1.5e-01
3841726,2013 SJ102,0.2829,44,31.555,7.34,93.80,315.45,349.06,0.003377,2464040.87,292,1.5e-04,8.6e-03,2.3e-03,3.3e-05,2.5e-03,2.2e-02,1.0e-02
3841723,2013 SK102,0.1792,43.64,35.819,7.40,66.47,151.28,148.83,0.003419,2417271.37,288,2.8e-04,7.2e-03,1.4e-02,3.8e-04,5.1e-03,1.3e-01,1.9e-01
3841801,2013 SM102,0.2617,52.72,38.925,11.41,154.03,227.56,3.93,0.002575,2459275.51,383,1.5e-04,1.2e-02,1.5e-03,3.3e-04,1.3e-03,4.6e-02,2.6e-02
3841806,2013 SN102,0.4439,68.43,38.051,4.45,114.22,247.85,8.31,0.001741,2456025.98,566,2.1e-04,2.9e-02,2.0e-03,1.3e-04,5.5e-03,3.6e-02,1.4e-02
3841802,2013 SO102,0.2264,39.71,30.720,9.85,145.24,258.29,3.47,0.003939,2459920.26,250,1.0e-04,5.6e-03,1.0e-03,1.7e-04,1.8e-03,3.1e-02,1.9e-02
3841803,2013 SP102,0.1471,39.56,33.744,11.60,146.72,75.07,176.44,0.003961,2416252.74,249,1.3e-04,3.5e-03,7.6e-03,3.1e-04,3.0e-03,1.3e-01,1.8e-01
3841808,2013 SQ102,0.6180,91.89,35.099,29.53,14.37,357.86,348.08,0.001119,2471451.66,881,7.8e-04,1.6e-01,2.1e-02,2.2e-04,1.3e-03,4.8e-02,3.7e-02
3841804,2013 SR102,0.3859,52.92,32.495,29.91,41.59,9.76,309.55,0.00256,2480502.66,385,5.7e-04,4.1e-02,2.3e-02,1.0e-04,1.8e-03,6.4e-02,9.5e-02
