,des,type,p,q,soi,a,e,i,q.1,Name
204,181867, resonant,7,3, S,52.786,0.29,5.48,37.47806,1999 CV118
205,181868, detached,0,0, S,49.546,0.292,16.68,35.078568,1999 CG119
206,181871, resonant,7,4, S,43.674,0.085,0.806,39.96171,1999 CO153
207,181874, detached,0,0, I,52.727,0.257,17.203,39.176161,1999 HW11
208,181902, scattering,0,0, I,122.404,0.693,25.929,37.578028,1999 RD215
209,182222, resonant,7,4, I,43.61,0.097,6.11,39.37983,2000 YU1
210,182223, detached,0,0, I,58.436,0.383,19.883,36.055012,2000 YC2
211,182294, resonant,11,6, I,44.987,0.162,10.652,37.699106,2001 KU76
212,182397, resonant,9,4, I,51.637,0.234,17.036,39.553942,2001 QW297
213,182926, classical, m,0, S,45.758,0.147,2.195,39.031574,2002 FU6
214,182933, detached,0,0, I,50.447,0.24,1.054,38.33972,2002 GZ31
215,182934, classical, m,0, S,44.244,0.109,11.611,39.421404,2002 GJ32
216,183595, classical, m,0, S,44.546,0.103,1.66,39.957762,2003 TG58
217,183963, classical, m,0, S,44.353,0.102,2.445,39.828994,2004 DJ64
218,183964, resonant,7,3, S,53.006,0.382,11.307,32.757708,2004 DJ71
219,184212, resonant,27,4, I,107.524,0.671,15.434,35.375396,2004 PB112
220,184314, classical, m,0, I,45.135,0.139,5.77,38.861235,NaN
221,187661, centaur,0,0, S,23.947,0.404,33.125,14.272412,2007 JG43
222,202421, classical, m,0, S,43.327,0.147,25.716,36.957931,2005 UQ513
223,208996, resonant,3,2, S,39.469,0.179,13.565,32.404049,2003 AZ84
224,225088, resonant,10,3, S,67.066,0.503,30.803,33.331802,2007 OR10
225,229762, detached,0,0, I,73.439,0.489,23.357,37.527329,NaN
226,230965, detached,0,0, S,47.094,0.247,38.116,35.461782,2004 XA192
227,241097, scattering,0,0, I,40.523,0.777,15.683,9.036629,2007 DU112
228,248835, centaur,0,0, S,22.066,0.458,36.296,11.959772,2006 SX368
229,250112, centaur,0,0, S,12.555,0.314,19.474,8.61273,2002 KY14
230,275809, classical, m,0, S,43.844,0.083,1.547,40.204948,2001 QY297
231,278361, classical, o,0, I,47.961,0.159,12.058,40.335201,2007 JJ43
232,281371, centaur,0,0, S,14.707,0.308,27.121,10.177244,2008 FC76
233,303712, classical, m,0, S,44.152,0.104,1.341,39.560192,2005 PR21
234,303775, scattering,0,0, S,111.837,0.67,14.03,36.90621,2005 QU182
235,305543, detached,0,0, S,61.96,0.406,25.152,36.80424,2008 QY40
236,306792, resonant,3,2, S,39.503,0.156,15.616,33.340532,2001 KQ77
237,307251, classical, m,0, S,46.693,0.202,9.763,37.261014,2002 KW14
238,307261, classical, m,0, S,41.737,0.145,17.693,35.685135,2002 MS4
239,307463, resonant,3,2, S,39.148,0.209,1.369,30.966068,2002 VU130
240,307616, classical, m,0, S,43.765,0.076,10.359,40.43886,2003 QW90
241,307982, scattering,0,0, S,90.17,0.596,16.279,36.42868,2004 PG115
242,308193, classical, m,0, S,43.351,0.142,28.633,37.195158,2005 CB79
243,308379, resonant,2,1, S,47.8,0.198,10.007,38.3356,2005 RS43
244,308460, resonant,5,4, S,34.828,0.066,1.518,32.529352,2005 SC278
245,308634, classical, m,0, S,43.405,0.104,7.866,38.89088,2005 XU100
246,308933, scattering,0,0, I,800.052,0.97,19.468,24.00156,2006 SQ372
247,309139, centaur,0,0, S,15.85,0.377,31.606,9.87455,2006 XQ51
248,309239, scattering,0,0, S,30.235,0.301,36.101,21.134265,2007 RW10
249,309737, centaur,0,0, S,10.942,0.437,6.042,6.160346,2008 SJ236
250,309741, centaur,0,0, S,27.226,0.612,35.829,10.563688,2008 UZ6
251,310071, centaur,0,0, S,29.905,0.566,19.662,12.97877,2010 KR59
252,312645, resonant,2,1, S,47.554,0.305,18.89,33.05003,2010 EP65
253,315530, classical, m,0, S,41.778,0.139,27.405,35.970858,2008 AP129
254,315898, jc,0,0, S,8.393,0.353,42.047,5.430271,2008 QD4
255,316179, scattering,0,0, S,30.641,0.313,19.235,21.050367,2010 EN65
256,328884, centaur,0,0, S,13.42,0.32,24.905,9.1256,2010 LJ109
257,330836, centaur,0,0, S,21.462,0.419,17.877,12.469422,2009 HW77
258,332685, jc,0,0, S,12.695,0.445,23.287,7.045725,2009 HH36
259,336756, scattering,0,0, I,283.929,0.967,140.78,9.369657,2010 NV1
260,341275, centaur,0,0, S,19.917,0.233,28.764,15.276339,2007 RG283
261,341520, resonant,3,2, S,39.216,0.264,11.283,28.862976,2007 TY430
262,342842, jc,0,0, S,11.585,0.44,105.072,6.4876,2008 YB3
263,346889, jc,0,0, S,10.792,0.444,19.889,6.000352,2009 QV38
264,349933, jc,0,0, S,12.045,0.46,30.99,6.5043,2009 YF7
265,353222, scattering,0,0, S,122.266,0.891,30.795,13.326994,2009 YD7
266,363330, classical, m,0, S,43.802,0.048,3.076,41.699504,2002 PQ145
267,363401, classical, m,0, S,45.589,0.131,2.297,39.616841,2003 LB7
268,364171, classical, m,0, S,44.687,0.08,3.549,41.11204,2006 JZ81
269,382004, jc,0,0, S,19.755,0.688,27.014,6.16356,2010 RM64
270,385185, resonant,3,2, S,39.204,0.197,3.714,31.480812,1993 RO
271,385191, classical, m,0, S,41.308,0.026,12.734,40.233992,1997 RT5
272,385194, classical, m,0, S,43.393,0.05,0.789,41.22335,1998 KG62
273,385199, classical, m,0, S,45.349,0.046,2.152,43.262946,1999 OE4
274,385201, classical, m,0, S,43.165,0.073,12.41,40.013955,1999 RN215
275,385266, classical, m,0, S,42.618,0.096,1.8,38.526672,2001 QB298
276,385362, classical, m,0, S,46.245,0.144,3.701,39.58572,2002 PT170
277,385363, classical, m,0, S,44.861,0.072,3.932,41.631008,2002 PW170
278,385437, classical, m,0, S,44.148,0.079,1.102,40.660308,2003 GH55
279,385445, resonant,3,2, S,39.422,0.15,3.664,33.5087,2003 QH91
280,385446, resonant,7,4, I,43.715,0.113,2.667,38.775205,2003 QW111
281,385447, classical, m,0, S,43.815,0.029,4.46,42.544365,2003 QF113
282,385458, resonant,17,9, I,45.964,0.17,5.081,38.15012,2003 SP317
283,385527, resonant,7,4, S,43.78,0.243,3.465,33.14146,2004 OK14
284,385528, detached,0,0, S,56.248,0.339,6.919,37.179928,2004 OR15
285,385533, resonant,12,7, I,43.034,0.114,23.862,38.128124,2004 QD29
286,385571, resonant,1,1, S,30.15,0.027,1.432,29.33595,2004 UP10
287,385607, resonant,3,1, I,62.691,0.344,25.038,41.125296,2005 EO297
288,385695, resonant,1,1, S,30.138,0.053,5.252,28.540686,2005 TO74
289,386723, classical, m,0, S,44.334,0.144,29.091,37.949904,2009 YE7
290,386968, centaur,0,0, S,21.524,0.458,2.036,11.666008,2012 BR61
291,389820, jc,0,0, S,8.911,0.377,6.442,5.551553,2011 WU92
292,395699, centaur,0,0, S,15.021,0.372,12.678,9.433188,2012 GN12
293,408832, classical, m,0, S,44.088,0.04,2.151,42.32448,2001 QJ298
294,413666, scattering,0,0, I,35.391,0.682,6.951,11.254338,2005 VJ119
295,415720, classical, m,0, S,43.045,0.07,7.737,40.03185,1999 RU215
296,416400, classical, m,0, S,44.222,0.133,27.421,38.340474,2003 UZ117
297,418993, scattering,0,0, S,351.828,0.969,68.015,10.906668,2009 MS9
298,420356, resonant,22,13, I,42.704,0.008,1.094,42.362368,2012 BX85
299,427507, centaur,0,0, S,22.026,0.366,22.475,13.964484,2002 DH5
300,427581, resonant,5,4, S,34.871,0.093,3.49,31.627997,2003 QB92
301,427614, classical, m,0, S,40.099,0.054,23.913,37.933654,2003 SR422
302,432949, resonant,5,4, S,34.875,0.164,28.582,29.1555,2012 HH2
303,434194, classical, m,0, S,42.565,0.048,2.272,40.52188,2003 FK127
304,434390, detached,0,0, S,55.201,0.319,5.138,37.591881,2005 CH81
305,434709, resonant,5,3, S,42.172,0.228,17.916,32.556784,2006 CJ69
306,437313, jc,0,0, S,12.921,0.583,8.985,5.388057,2013 EK73
307,437360, detached,0,0, S,111.213,0.672,31.143,36.477864,2013 TV158
308,437871, classical, m,0, S,42.502,0.072,21.734,39.441856,2001 FN185
309,437915, resonant,9,5, S,44.481,0.137,6.587,38.387103,2002 GD32
310,438028, resonant,3,2, S,39.411,0.279,3.134,28.415331,2004 EH96
311,439858, classical, m,0, S,42.631,0.041,3.187,40.883129,1999 ON4
312,443843, classical, m,0, S,46.444,0.118,10.636,40.963608,2001 FO185
313,444018, classical, m,0, S,44.153,0.044,2.821,42.210268,2004 EU95
314,444025, classical, m,0, S,43.964,0.046,3.316,41.941656,2004 HJ79
315,444030, classical, m,0, S,43.437,0.15,31.228,36.92145,2004 NT33
316,444745, resonant,3,2, S,39.348,0.183,15.081,32.147316,2007 JF43
317,445473, scattering,0,0, I,153.436,0.776,4.511,34.369664,2010 VZ98
318,447178, centaur,0,0, S,28.848,0.519,35.458,13.875888,2005 RO43
319,449097, centaur,0,0, S,20.255,0.377,15.413,12.618865,2012 UT68
320,450265, resonant,3,2, S,39.184,0.255,4.146,29.19208,2003 WU172
321,451657, detached,0,0, S,76.545,0.51,23.684,37.50705,2012 WD36
322,455171, classical, m,0, I,45.976,0.12,2.087,40.45888,1999 OM4
323,455206, classical, m,0, S,46.67,0.124,2.814,40.88292,2001 FE193
324,455209, classical, m,0, S,45.094,0.087,1.708,41.170822,2001 KT76
