Name,a(AU),e,sinI,n(deg/yr),g("/yr),s("/yr),lam-fit(deg),My
293,0.00000009,0.0001112,0.0000611,0.000004,0.009216,0.009878,2.3553,-2
294,0.00000104,0.0000310,0.0000159,0.000005,0.016448,0.016873,18.2041,-2
295,0.00000077,0.0000210,0.0000091,0.000015,0.011631,0.005859,17.1121,-2
296,0.00003584,0.0003558,0.0006875,0.002422,0.002485,0.011210,1265.9268,2
297,0.00001152,0.0000146,0.0000069,0.000448,0.020011,0.010093,175.6786,-2
298,0.00000098,0.0021818,0.0017097,0.000064,0.043483,0.065520,27.6201,2
299,0.00000156,0.0001594,0.0001269,0.000102,0.010005,0.002337,42.6077,2
300,0.00018676,0.0000474,0.0002014,0.004930,0.483748,0.015680,2430.6534,-2
301,0.00000026,0.0003944,0.0004709,0.000009,0.017475,0.002956,5.4460,-2
302,0.00000013,0.0000362,0.0000720,0.000006,0.005388,0.002956,4.5369,2
303,0.00000875,0.0000985,0.0000364,0.000181,0.013449,0.005084,91.5503,-2
304,0.00000105,0.0038753,0.0002686,0.000089,0.024244,0.144566,45.6988,2
305,0.00015102,0.0007329,0.0017070,0.005151,0.214117,0.136787,6892.2387,10
306,0.00000001,0.0002035,0.0001111,0.000001,0.002890,0.003030,2.2952,2
307,0.00000221,0.0000722,0.0000947,0.000101,0.008576,0.007260,40.7503,-2
308,0.00000081,0.0012472,0.0007647,0.000026,0.045884,0.024506,19.0004,-2
309,0.00000061,0.0003285,0.0001322,0.000026,0.010026,0.018579,15.0857,-2
310,0.00000124,0.0000196,0.0000134,0.000022,0.005121,0.005391,29.0903,-2
311,0.00000002,0.0000247,0.0000065,0.000001,0.007612,0.005515,0.6624,-2
312,0.00000054,0.0002320,0.0000264,0.000039,0.007061,0.019048,14.6932,-2
313,0.00001099,0.0001838,0.0001028,0.000472,0.003555,0.029475,357.9560,2
314,0.00021425,0.0001382,0.0000393,0.007162,0.173012,0.010318,3010.2655,-2
315,0.00000005,0.0001935,0.0006481,0.000007,0.006074,0.009760,4.3854,2
316,0.00072425,0.0022261,0.0002100,0.024813,1.443330,0.526236,26770.8831,10
317,0.00000065,0.0001452,0.0002176,0.000023,0.007495,0.008683,14.5151,2
318,0.00005713,0.0000073,0.0000392,0.001781,0.199835,0.011195,800.3525,-2
319,0.00073834,0.0028763,0.0006682,0.023762,1.650908,2.100188,22819.4129,10
320,0.00000026,0.0010025,0.0004418,0.000007,0.042441,0.037763,3.2195,-2
321,0.00000001,0.0000320,0.0000047,0.000001,0.007924,0.005439,0.5023,-2
322,0.00000134,0.0002175,0.0000352,0.000054,0.008048,0.011965,29.0550,-2
323,0.00000058,0.0035816,0.0014990,0.000046,0.346046,0.434689,18.9150,2
324,0.00001401,0.0001577,0.0000561,0.000724,0.005367,0.011522,277.2784,-2
325,0.00001880,0.0000497,0.0000904,0.000654,0.077631,0.016107,405.6111,-2
326,0.00000344,0.0005467,0.0010017,0.000238,0.007629,0.022448,112.0973,2
327,0.00000003,0.0002300,0.0000618,0.000001,0.002630,0.004791,0.7388,-2
328,0.00018218,0.0006203,0.0001465,0.007690,0.068446,0.086124,7936.7918,10
